epoch,Train_loss,Valid_loss,Train_dice,Train_dice_lesao,Valid_dice,Valid_dice_lesao
1,0.14037656784057617,0.08430182933807373,0.3052119761201868,0.3605037378012829,0.47823196480302443,0.5823513018634194
2,0.14461922645568848,0.9138069152832031,0.4117499770109268,0.3850477764567045,0.19572293866456136,0.4930274209130702
3,0.8259775638580322,0.23608088493347168,0.4509476061787844,0.4125909135726405,0.6843835991097904,0.459950187269381
4,0.7897329330444336,0.9994902014732361,0.4797271985065548,0.435035109443696,0.2533948930494289,0.5750965387555321
5,0.5572782754898071,0.9319520592689514,0.5135074517039547,0.45716361683848905,0.556689208508434,0.5667302016297491
6,0.08297020196914673,0.06633198261260986,0.5366678082444699,0.46699194685351014,0.7580611501252082,0.6400607186605314
7,0.04557526111602783,0.38985198736190796,0.5633845143157503,0.48430911015633465,0.6772567079209427,0.682792990139517
8,0.22867071628570557,0.33466672897338867,0.5772099299277912,0.49171782572227013,0.3792123805650963,0.646286154237704
9,0.12758904695510864,0.530778169631958,0.5901413428190988,0.5075160566264044,0.7451498725894814,0.6532416863298887
10,0.04239016771316528,0.6067950129508972,0.5987038853868554,0.5015556367245966,0.5972075006155885,0.6536060590180172
11,0.09229278564453125,0.03503298759460449,0.6086127097676616,0.5320807782443857,0.7967109804814391,0.6531780819599219
12,0.04052644968032837,0.08326727151870728,0.6123508511287952,0.5257309369579934,0.7990353097694027,0.6694698104500995
13,0.014393866062164307,0.11142414808273315,0.6165305495864472,0.5296447042793758,0.8159350221175551,0.6180258715727415
14,0.5764838457107544,0.056638896465301514,0.657510965367501,0.5601360520402954,0.8083924497644183,0.6894311256659549
15,0.04740649461746216,0.04820442199707031,0.6718416718760136,0.5716542962359371,0.796255999188983,0.6930301174403094
16,0.1126481294631958,0.9995289444923401,0.6785404859303092,0.5886876064569591,0.8207688371997847,0.6798793058499785
17,0.030018150806427002,0.17562568187713623,0.6803363689918565,0.5978184498580387,0.8081533288133897,0.6949533006554065
18,0.39095550775527954,0.21842825412750244,0.6796266195428419,0.5943310714118349,0.8205645600486702,0.6790248436189482
19,0.22698664665222168,0.10036367177963257,0.6760628725756951,0.5902228915959892,0.8324982085631815,0.6785548722743157
20,0.2241852879524231,0.35723549127578735,0.6763038833544053,0.6008765834107052,0.8266977124725341,0.6881308722241417
21,0.5609527826309204,0.09548896551132202,0.6868274806886436,0.5986895968348852,0.7528034012055015,0.6834679113823172
22,0.03248482942581177,0.07515585422515869,0.6881067955896822,0.6073700271240194,0.8286800189536725,0.70531255208156
23,0.009976208209991455,0.7221819758415222,0.6936014983168817,0.6111141872016093,0.8419013789298165,0.6814916813512094
24,0.03621327877044678,0.05141043663024902,0.6978250120731735,0.6154480627662967,0.835666550243484,0.6839687580599987
25,0.08708006143569946,0.9292665719985962,0.7004596130242766,0.6203769202779986,0.8355749459168702,0.6831831741564347
26,0.051551759243011475,0.9734398722648621,0.6973820401672621,0.6200346642420471,0.8407876061074706,0.7068875832396335
27,0.11865818500518799,0.03429025411605835,0.7034945374558229,0.621682766520961,0.8346624455282002,0.6874921009803052
28,0.1937274932861328,0.07541149854660034,0.7057045062549141,0.6274282333755082,0.8305295982519599,0.6970373759423737
29,0.2796304225921631,0.39955341815948486,0.7041267131836052,0.6176556310452628,0.7661721187308349,0.7292371950546788
30,0.1059039831161499,0.9983235597610474,0.6983001426264298,0.6266474713115656,0.7981611646207126,0.7151161521404842
31,0.44519633054733276,0.12109559774398804,0.7082178421686461,0.6303618298866461,0.8031623479467426,0.7061535408810339
32,0.012740075588226318,0.20652371644973755,0.7077922516034548,0.6161235586961507,0.825213904456412,0.7320874270710542
33,0.5354410409927368,0.9980415105819702,0.7120445742889601,0.6267308441142451,0.8052469325729111,0.7160151251764199
34,0.08615767955780029,0.01309812068939209,0.7086325030823231,0.6275047914793697,0.8408581472970342,0.6998681403132266
35,0.02156168222427368,0.012817800045013428,0.7114916959246383,0.6393668626741104,0.8162305551991913,0.6986987901454778
36,0.03924316167831421,0.13929325342178345,0.7039149042285275,0.627809834940591,0.8397176849390207,0.7012604786957795
37,0.05193215608596802,0.9964919686317444,0.7082099335991576,0.6325902381369589,0.8204401950638542,0.7039973895670352
38,0.0215415358543396,0.1775924563407898,0.7116746293509101,0.6344666130684641,0.7867474227937683,0.6994717594857174
39,0.16811001300811768,0.014693677425384521,0.7126735344957308,0.6350003061915868,0.8150182156747391,0.7134972669976929
40,0.059935569763183594,0.6499885320663452,0.7200391613419602,0.6452535017720773,0.8181709307018451,0.7016450152022611
41,0.160882830619812,0.9668789505958557,0.7201301200661591,0.6449269488121999,0.8336929411218407,0.709209300589197
42,0.14315640926361084,0.06485164165496826,0.7199424986546552,0.6476050987102221,0.8084155223219911,0.7043021487891792
43,0.7092149257659912,0.040904343128204346,0.725728257710919,0.6453576104501412,0.804507445596964,0.7021101092694975
44,0.018858909606933594,0.1457204818725586,0.7176437268332388,0.6421107051656826,0.8315887358006275,0.7115788485394378
45,0.0119551420211792,0.2361242175102234,0.7213324299471124,0.6441963027865798,0.8326206221966275,0.6894775380507371
46,0.17681318521499634,0.07703197002410889,0.7213209990807342,0.6473076852080902,0.8230939696667522,0.709427827539085
47,0.18154805898666382,0.04112178087234497,0.7217579122226782,0.6499707034640289,0.8159437841411747,0.7212526004087784
48,0.08822911977767944,0.9775689840316772,0.7211172903486134,0.6461179360854349,0.8356596247363487,0.7279060637406659
49,0.06982147693634033,0.1954752802848816,0.7257370457492176,0.6530860489794827,0.83475909615014,0.7186771337525012
50,0.1211581826210022,0.04848933219909668,0.7251299283342034,0.6531724152076129,0.811941823618881,0.7107409606450837
51,0.07955849170684814,0.5426832437515259,0.7174436534720189,0.6379881067804921,0.8297275066349876,0.7015913880080387
52,0.7855134010314941,0.9733117818832397,0.7211208326259956,0.6490753588957696,0.8274591638872182,0.7037052424168753
53,0.40822166204452515,0.02505779266357422,0.7180034542629337,0.6442467134332928,0.8202746586948889,0.7045930723482556
54,0.07042980194091797,0.32257699966430664,0.7222838098716426,0.6461503887242999,0.8323041577374027,0.705871866093212
55,0.15063589811325073,0.028928637504577637,0.7236952668647679,0.6460436609891504,0.828024246918078,0.7190864768746968
56,0.9862722158432007,0.026791095733642578,0.7239312174828147,0.6518714844467347,0.8320838120647075,0.7172451031494133
57,0.024593889713287354,0.16891467571258545,0.7176326198697827,0.6453463399417889,0.7974336274378988,0.7111000583273771
58,0.05623823404312134,0.018702268600463867,0.7182180104087686,0.6440652053019588,0.8279695127176127,0.7164493063950541
59,0.08991783857345581,0.09633743762969971,0.71859384609961,0.6480530018064943,0.8196164579264635,0.6962747627507656
60,0.36248326301574707,0.9478784799575806,0.7231535090899226,0.6468845480696676,0.834295904128362,0.7121718699874899
61,0.5965325236320496,0.021519958972930908,0.7269656793143211,0.6495421242053724,0.8195170906007561,0.7111373425109918
62,0.9984994530677795,0.12179702520370483,0.7222402648683819,0.6504360837874883,0.8154271512219277,0.7247754676674973
63,0.0040007829666137695,0.03455173969268799,0.724830778422798,0.6504588720094808,0.8312932697493204,0.7189236656866248
64,0.10645550489425659,0.4987243413925171,0.7164725131219275,0.6421796218127797,0.8215411865247721,0.7166126030777403
65,0.02200329303741455,0.38619035482406616,0.7238392152040557,0.6533230293552333,0.8317240675901295,0.7072078745242559
66,0.059501707553863525,0.04009526968002319,0.7256293829544497,0.6464199716065996,0.8339505110262299,0.7007706657144731
67,0.06521892547607422,0.010921180248260498,0.7214243444931808,0.6449444158195756,0.8333417368030883,0.7104422768794942
68,0.10072070360183716,0.303638756275177,0.7246627776356349,0.6509099306302917,0.8363553218285246,0.6989860301479137
69,0.01748746633529663,0.020951271057128906,0.7252566568423267,0.6481980275185641,0.8338108047565457,0.7269727670416708
70,0.2552434206008911,0.03931182622909546,0.7180761985825793,0.6458930271947897,0.8380887727097046,0.7166210495653553
71,0.9993889927864075,0.9156624674797058,0.723061001781465,0.6513094881503088,0.8178014302890448,0.7218586927082133
72,0.0999830961227417,0.035917818546295166,0.7263962792692275,0.6521805368341358,0.832640491505261,0.6962266078867485
73,0.19570207595825195,0.018241047859191895,0.7200095450279179,0.6463339159624052,0.8232719870065712,0.7146932668851166
